id; text; dialect
ID: 331814; Text: τοῦτον τὸν σϙύφον Πόρϙος ἀποδίδωτι ἐς τὸν θίασον τῶν παρῶν αἰ δ’ ἐφίλη Φρύναν οὐκ ἄλλος κ’ ἆγε ℎο δὲ γράπσας τὸν ἀννέμοντα πυγίξει; Dialect: dialect.west_greek.doric.unspecified
 
ID: 330104; Text: — — — κοίνωι καλεῖ εἶ ἀτήλεστα καὶ ἔρ̣γα καὶ ἔπεα εἶναι καὶ Σικανᾶι ἀτέλεστα καὶ ἔρ̣γα καὶ ἔπεα εἶναι καλεῖ εἶ; Dialect: dialect.west_greek.doric.megarian
  
ID: 304763; Text: σᾶμα τόζ’ Ἰδαμενεὺς ποίησα ℎίνα Κληοῦς εἴη Ζεὺ δέ νιν ὄστις πημαίνοι λειωλη θείη; Dialect: dialect.west_greek.doric.rhodian
 
ID: 201834; Text: — — — τῶν ὐῶν οἱ πλίες — — — κἠνδυήσες — — — ἢ κἀλῶς — — — ἐς τὄμορον — — — ἆι δασάσθοσαν ἐς δᾶμομ ϙόσμος ἐπεσταϙὼς ἀδικίοντα λεῖ ἐκτείσαι ἀπλοπίαι καὶ ἆι μὴ αὐτοῖς ϝῖσον πόλι ἔασε μἦμεν τῶι ϙόσμωι — — — ἔκεν τεμένια περιοίϙον τὸ ϝῖσον λακὲν ϙὀικίας — — — ἰδιαγοι δίκαια δὲ ὄτερον κἆλω λῆται ὁ ποινικαστὰς ἆιπερ οἱ ἄλοι κρησεταίην ϙόσμοι ἄδικα ϝοι τέλεται ἄλα δὲ οὐδ’ αἰλῆν — — —αἴ κα ϙὠι ἄλοι ἄρϙωνται; Dialect: dialect.west_greek.doric.cretan
 
ID: 337363; Text: Μύσκων ∶ Δάμιος ∶ τοῦ Κορέτου Ἀνθεμόκριτος ∶ ἐφίετο Ἀπέλιν ἐνγυάσασθαι σωμα δὲ ἔφα εἴμειν κατελάζετο τὸν Λεοντῖνον Ξένιν Μύσκονα ∶ ἐν τᾶι πλατείαι θωκέοντας οὐκ ἀργύριον ἔχων ℎῖκε βοῶν τιμᾶν οὐκ ἐπρίατο αἰ ποτ’ Ἐνπεδοκλῆ τὸν Μνασιμάχου ποτένθηι γενέσθω ἐνγυάσασθαι; Dialect: dialect.west_greek.doric.geloan
 
ID: 330383; Text: Ἀριστοκλείας εἰμὶ τᾶς καλᾶς καλά ℎαύτα δ’ εἰμί Πίθαϙος αἰτείσας ἔχει; Dialect: dialect.west_greek.doric.megarian
 
ID: 201994; Text: θιοί ἔϝαδε Λυκτίοισι ἀλοπολιάταν ὄστις κα δέκσεται ϝέρεν αἰ μὴ ὀσωϝυτός τε καρτεῖ καὶ τὸνς Ἰτανίονς αἰ δὲ καρτήσαι ἢ κοσμίων ἢ ἀπόκοσμος ὐπὲρ ϝωλᾶς ϝαδᾶς ἐκατὸν λέβητας τεισεῖ ἐκάστω ὅσος κα δέκσεται τούτος δὲ οἰ ἐσζικαιωτῆρες ἐπ’ ὄ τε κα παύσεται αἴ κα μὴ ἀνίωνται πὰρ τῶι ἐπιϝόρϝωι ὀμίονται ἀποδόμεν — — —οκον — — —ται τ— — —; Dialect: dialect.west_greek.doric.cretan
 
ID: 329604; Text: Σελινόντιος καὶ ℎα Σελινοντίου γλῶσα ἀπεστραμέν’ ἐπ’ ἀτελείαι ἐνγράφω τᾶι τένων. καὶ τῶν ξένων συνδίϙων τὰς γλῶσας ἀπεστραμένας ἐπ’ ἀτελείαι τᾶι τένων ἐνγράφω; Dialect: dialect.west_greek.doric.megarian
 
ID: 195543; Text: Γέλων ὁ Δεινομένεος ἀνέθηκε τοὐπόλλωνι Συραϙόσιος. τὸν τρίποδα ⋮ καὶ τὴν ⋮ Νίκην ⋮ ἐργάσατο Βίων ⋮ Διοδώρω ⋮ ℎυιὸς ⋮ Μιλήσιος; Dialect: dialect.west_greek.doric.corinthian
 
ID: 340073; Text: Πίθαϙος Ἀρέος Ἀφαιστίων ΙΣΑ.ΤΑΣ Ἐρίφιλος Τερπεφίλου Μυταλᾶς Καλέος Θωπύλος Ξήνωνος Ἄθανις Ἀντάνδρου Χάρων Ηαγασάρχου Σιλανὸς ℎαγία Ἄθανις Ηαγασάρχου Ξένουν ℎινύϙου ℎαγίας Φιλοδάμου Δεινίας Σφυρᾶ Φίλωνος Ναϙώι; Dialect: dialect.west_greek.doric.megarian
 
