id; text; dialect
ID: 331814; Text: τοῦτον τὸν σϙύφον Πόρϙος ????????? ἐς τὸν θίασον τῶν παρῶν αἰ δ’ ἐφίλη Φρύναν οὐκ ἄλλος κ’ ἆγε ℎο δὲ γράπσας τὸν ἀννέμοντα πυγίξει; Dialect: dialect.west_greek.doric.unspecified
ID: 331814; Text: τοῦτον τὸν σϙύφον Πόρϙος ἀποδίδωτι ἐς τὸν θίασον τῶν παρῶν αἰ δ’ ἐφίλη Φρύναν οὐκ ἄλλος κ’ ἆγε ℎο δὲ ??????? τὸν ἀννέμοντα πυγίξει; Dialect: dialect.west_greek.doric.unspecified

ID: 330104; Text: — — — κοίνωι καλεῖ εἶ ἀτήλεστα καὶ ???? καὶ ἔπεα εἶναι καὶ Σικανᾶι ἀτέλεστα καὶ ἔρ̣γα καὶ ἔπεα εἶναι καλεῖ εἶ; Dialect: dialect.west_greek.doric.megarian
ID: 330104; Text: — — — κοίνωι καλεῖ εἶ ἀτήλεστα καὶ ἔρ̣γα καὶ ἔπεα εἶναι καὶ Σικανᾶι ἀτέλεστα καὶ ἔρ̣γα ??? ἔπεα εἶναι καλεῖ εἶ; Dialect: dialect.west_greek.doric.megarian
ID: 330104; Text: — — — κοίνωι καλεῖ εἶ ἀτήλεστα καὶ ἔρ̣γα καὶ ἔπεα εἶναι καὶ Σικανᾶι ἀτέλεστα καὶ ἔρ̣γα καὶ ???? εἶναι καλεῖ εἶ; Dialect: dialect.west_greek.doric.megarian
  
ID: 304763; Text: ???? τόζ’ Ἰδαμενεὺς ποίησα ℎίνα Κληοῦς εἴη Ζεὺ δέ νιν ὄστις πημαίνοι λειωλη θείη; Dialect: dialect.west_greek.doric.rhodian
ID: 304763; Text: σᾶμα τόζ’ Ἰδαμενεὺς ποίησα ℎίνα Κληοῦς εἴη ??? δέ νιν ὄστις πημαίνοι λειωλη θείη; Dialect: dialect.west_greek.doric.rhodian
 
