id; text; dialect
ID: 234803; Text: Παλλάδι μ’ ἐγρεμάχαι Διονύσιος τόδ’ ἄγ???? στῆσε Κολοίου παῖς εὐχσάμενος δεκάτην; Dialect: dialect.east_greek.atticionic.attic
ID: 234803; Text: Παλλάδι μ’ ἐγρεμάχαι Διονύσιος τόδ’ ἄγαλμα στῆσε Κολοίου παῖς εὐχσάμενος ???άτην; Dialect: dialect.east_greek.atticionic.attic

ID: 234674; Text: — — — ισι παίδων Καλλίας μ’ἀν?????? Ἀθηναίαι Διδυμίου ἄθλοις νικήσας ἀνδρῶν δέκα καὶ τρ̣ισὶ παίδων; Dialect: dialect.east_greek.atticionic.attic
ID: 234674; Text: — — — ισι παίδων Καλλίας μ’ἀνέθηκεν Ἀθηναίαι Διδυμίου ἄθλοις ????σας ἀνδρῶν δέκα καὶ τρ̣ισὶ παίδων; Dialect: dialect.east_greek.atticionic.attic

ID: 234884; Text: τήνδε κόρην ????ηκεν ἀπαρχὴν Ἰσόλοχος ἄγρας ∶ ἔν οἰ ποντομέδον χρυσοτρίαιν’ ἔπορεν; Dialect: dialect.east_greek.atticionic.attic
ID: 234884; Text: τήνδε κόρην ἀνέθηκεν ἀπαρ??? Ἰσόλοχος ἄγρας ∶ ἔν οἰ ποντομέδον χρυσοτρίαιν’ ἔπορεν; Dialect: dialect.east_greek.atticionic.attic

ID: 234773; Text: Ἐπιχαρῖνος ἀνέθη??? ℎο Ὀφολωνίδου. Κρίτιος καὶ Νησιώτης ἐποιησάτην; Dialect: dialect.east_greek.atticionic.attic
ID: 234773; Text: Ἐπιχαρῖνος ἀνέθηκεν ℎο Ὀφολωνίδου. Κρίτιος καὶ Νησ????? ἐποιησάτην; Dialect: dialect.east_greek.atticionic.attic
